SKU,ASIN,title,number,price,cost,akaji,takane,condition,conditionNote,trace,leadtime,amazon-fee,shipping-price,profit,add-delete
"=""20250201-B0007RBX52-UM-1650-1""","=""B0007RBX52""","=""JVCケンウッド ビクター カセットアダプター C-P8""",1,4463.0,1650,2830,0,1,"=""""",0.0,0.0,814,0,2044,nan
"=""20250201-B000LVNOKQ-UVG-330-1""","=""B000LVNOKQ""","=""ひらがなあそび KH-150""",1,1120.0,330,617,0,2,"=""""",0.0,0.0,609,0,192,nan
"=""20250201-B000RGMGAY-UVG-550-1""","=""B000RGMGAY""","=""OLYMPUS 防水プロテクター μ780用 PT-039""",1,2971.0,550,1274,0,2,"=""""",0.0,0.0,795,0,1656,nan
"=""20250201-B0011EZ50E-N-330-1""","=""B0011EZ50E""","=""東和産業 食器棚用 キッチンシート 幅30cm ズレ キズ防止 クリア""",1,1702.0,330,747,0,11,"=""""",0.0,0.0,749,0,640,nan
"=""20250201-B001L7UT5W-UVG-330-1""","=""B001L7UT5W""","=""PLANEX ひかりTV・フレッツv6対応 高機能・高速ブロードバンド有線LANルータ BRL-04M""",1,1477.0,330,697,0,2,"=""""",0.0,0.0,629,0,533,nan
"=""20250201-B01B7MZJ8C-N-550-1""","=""B01B7MZJ8C""","=""エンスカイ(ENSKY) 108ピース ジグソーパズル おそ松さん 松野家の6つ子たち ラージピース(26x38cm) 108-L553""",1,1477.0,550,941,0,11,"=""""",0.0,0.0,619,0,323,nan
"=""20250329-B005VLND4I-UM-330-1""","=""B005VLND4I""","=""佐藤金属興業 SALUS マルチコンティ L 2h ブラウン×ミント""",1,2327.0,330,783,0,1,"=""""",0.0,0.0,873,0,1148,nan
"=""2025_0102_7727_new_440_2""","=""B004JF4P58""","=""キングジム ショットノート メモパッド Lサイズ 9102 白""",1,1255.0,440,769,0,11,"=""""",0.0,0.0,497,0,331,nan
"=""2025_0106_2655_new_330_1""","=""B01HT4VAYY""","=""北川工業 キタリア 大型テレビ用転倒防止固定具 【SUPERタックフィット】 60型以下対応 日本製 2個入り TF-VCB-TV-2S""",1,2132.0,330,863,0,11,"=""""",0.0,0.0,820,0,1004,nan
"=""2025_0106_3286_used02_880_1""","=""B00NPPM0IW""","=""OGK技研 オージーケー技研 チャイルドシート周辺グッズBKF-001(HBCシリーズ用ブランケット)チャコール自転車用""",1,4704.0,880,1478,0,2,"=""""",0.0,0.0,1008,0,2864,nan
