"sku","days","action","reason","price","new_price","priceTrace","new_priceTrace"
"20250201-B0007RBX52-UM-1650-1","266","exclude","Excluded: 266 days (manual handling required)","4463","4463.0","0","0"
"20250201-B000LVNOKQ-UVG-330-1","266","exclude","Excluded: 266 days (manual handling required)","1120","1120.0","0","0"
"20250201-B000RGMGAY-UVG-550-1","266","exclude","Excluded: 266 days (manual handling required)","2971","2971.0","0","0"
"20250201-B0011EZ50E-N-330-1","266","exclude","Excluded: 266 days (manual handling required)","1702","1702.0","0","0"
"20250201-B001L7UT5W-UVG-330-1","266","exclude","Excluded: 266 days (manual handling required)","1477","1477.0","0","0"
"20250201-B01B7MZJ8C-N-550-1","266","exclude","Excluded: 266 days (manual handling required)","1477","1477.0","0","0"
"20250329-B005VLND4I-UM-330-1","210","exclude","Excluded: 210 days (manual handling required)","2327","2327.0","0","0"
"2025_0102_7727_new_440_2","296","exclude","Excluded: 296 days (manual handling required)","1255","1255.0","0","0"
"2025_0106_2655_new_330_1","292","exclude","Excluded: 292 days (manual handling required)","2132","2132.0","0","0"
"2025_0106_3286_used02_880_1","292","exclude","Excluded: 292 days (manual handling required)","4704","4704.0","0","0"
"2025_0117_3426_used02_990_1","281","exclude","Excluded: 281 days (manual handling required)","1570","1570.0","0","0"
"2025_0117_7286_new_550_1","281","exclude","Excluded: 281 days (manual handling required)","3474","3474.0","0","0"
"2025_0117_9192_new_770_1","281","exclude","Excluded: 281 days (manual handling required)","2580","2580.0","0","0"
"2025_0125_3495_new_110_5","273","exclude","Excluded: 273 days (manual handling required)","762","762.0","0","0"
"2025_0125_3678_used02_858_1","273","exclude","Excluded: 273 days (manual handling required)","1773","1773.0","0","0"
"2025_0125_4794_new_110_1","273","exclude","Excluded: 273 days (manual handling required)","959","959.0","0","0"
"2025_0125_6783_new_550_1","273","exclude","Excluded: 273 days (manual handling required)","4391","4391.0","0","0"
"2025_0125_6867_used02_990_1","273","exclude","Excluded: 273 days (manual handling required)","2022","2022.0","0","0"
"2025_0125_6943_used02_880_1","273","exclude","Excluded: 273 days (manual handling required)","4195","4195.0","0","0"
